,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
0,Symposium of Asian Association for Algorithms and Computation,AAAC,CORE2021,C,none,,4613,0,
1,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2021,A*,none,aaai,4602,1,5.0
2,Conference on Algorithmic Aspects in Information and Management,AAIM,CORE2021,C,none,aaim,4613,0,
3,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2021,A*,none,atal,4602,2,5.0
4,"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,CORE2021,C,none,zum,4612,0,
5,Applied Computing Conference,ACC,CORE2021,C,none,,4601,0,
6,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,CORE2021,Australasian C,none,,4613,0,
7,International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,CORE2021,National,none,,4613,0,
8,Asian Conference on Computer Vision,ACCV,CORE2021,B,none,accv,4603,0,
9,Australasian Computing Education Conference (ACE),ACE,CORE2021,Australasian B,none,ace,4608,1,4.0
10,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2021,B,none,,4607,0,
11,International Conference on Advances in Computer-Human Interactions,ACHI,CORE2021,C,none,,4608,0,
12,International Conference on Affective Computing and Intelligent,ACII,CORE2021,C,none,acii,4608,4,5.0
13,Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2021,B,none,aciids,4605,133,4.6
14,Australasian Conference on Information Security and Privacy,ACISP,CORE2021,Australasian B,none,acisp,4604,1,4.0
15,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2021,B,none,acivs,4603,1,3.0
16,Association for Computational Linguistics,ACL,CORE2021,A*,none,acl,4602,0,
17,Asian Conference on Machine Learning,ACML,CORE2021,Unranked,none,acml,4611,12,4.7
18,ACM Multimedia,ACMMM,CORE2021,A*,none,mm,4603,2,
19,International Conference on Applied Cryptography and Network Security,ACNS,CORE2021,B,none,acns,4604,0,
20,Australasian Conference on Robotics and Automation,ACRA,CORE2021,Australasian C,none,,4602,0,
21,Annual Computer Security Applications Conference,ACSAC,CORE2021,National: usa,none,acsac,4604,4,4.0
22,Application of Concurrency to System Design,ACSD,CORE2021,B,none,acsd,4606,0,
23,"Asilomar Conference on Signals, Systems and Computing",ACSSC,CORE2021,National: USA,none,acssc,4606,0,
24,International Conference on Reliable Software Technologies,Ada-Europe,CORE2021,B,none,adaEurope,4612,0,
25,Symposium on Advances in DB and Information Systems,ADBIS,CORE2021,B,none,adbis,4605,0,
26,Australasian Database Conference,ADC,CORE2021,Australasian B,none,adc,4605,0,
27,International Conference on Advanced Computing and Communications,AdCom,CORE2021,National: India,none,,4606,0,
28,Australasian Document Computing Symposium,ADCS,CORE2021,Australasian B,none,adcs,4605,0,
29,International Conference on AD-HOC Networks and Wireless,ADHOC-NOW,CORE2021,C,none,adhoc-now,4606,0,
30,International Conference on Advanced Data Mining and Applications,ADMA,CORE2021,B,none,adma,4605,0,
31,Australasian Joint Conference on Artificial Intelligence,AI,CORE2021,Australasian B,none,index.html,4602,0,
32,Artificial Intelligence Applications and Innovations,AIAI,CORE2021,C,none,ifip12,4601,0,
33,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2021,C,none,aiccsa,46,0,
34,Australian Institute of Computer Ethics Conference,AICE,CORE2021,Australasian C,none,,4608,0,
35,International Conference on Artificial Intelligence in Education,AIED,CORE2021,A,none,aied,4601,0,
36,Artificial Intelligence in Medicine in Europe,AIME,CORE2021,B,none,aime,4601,0,
37,Advances in Modal Logic,AiML,CORE2021,B,none,aiml,4613,0,
38,"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,CORE2021,National: Bulgaria,none,aimsa,4602,0,
39,International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,CORE2021,B,none,aina,4606,3,4.3
40,Asia Information Retrieval Symposium,AIRS,CORE2021,C,none,airs,4605,0,
41,Australasian Information Security Conference,AISC,CORE2021,Australasian B,none,,4604,0,
42,"International Conference on Analysis of Images, Social Networks and Texts",AIST,CORE2021,National: Russia,none,aist,4602,0,
43,International Conference on Artificial Intelligence and Statistics,AISTATS,CORE2021,A,none,aistats,4611,7,5.0
44,Workshop on Algorithm Engineering and Experiments,ALENEX,CORE2021,A,none,alenex,4613,1,
45,International Symposium on Algorithms and Experiments for Wireless Networks,Algosensors,CORE2021,C,none,algosensors,4606,0,
46,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,CORE2021,C,none,,4602,0,
47,Algorithmic Learning Theory,ALT,CORE2021,B,none,alt,4611,0,
48,Australasian Language Technology Workshop,ALTA,CORE2021,Australasian B,none,acl-alta,4602,0,
49,European Conference on Ambient Intelligence,AmI,CORE2021,C,none,ami,4606,1,4.0
0,American Medical Informatics Annual Fall Symposium,AMIA,CORE2021,National: USA,none,amia,4601,2,5.0
1,Conference of the Association for Machine Translation in the Americas,AMTA,CORE2021,National/Regional,none,amta,4602,0,
2,Workshop on Analytic Algorithmics and Combinatorics,ANALCO,CORE2021,B,none,analco,4613,0,
3,"International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2021,Unranked,none,ant,4606,1,4.0
4,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,CORE2021,B,none,aofa,4613,0,
5,Asia-Pacific Bioinformatics Conference,APBC,CORE2021,B,none,apbc,4601,0,
6,Asia Pacific Conference on Communications,APCC,CORE2021,C,none,apcc,4606,0,
7,Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2021,Australasian C,none,,4605,0,
8,ASIAN Symposium on Programming Languages and Systems,APLAS,CORE2021,B,none,aplas,4612,0,
9,Asia-Pacific Network Operations and Management Symposium,APNOMS,CORE2021,C,none,apnoms,4606,0,
10,Conference of the Association of Asian-Pacific Operational Research Societies,APORS,CORE2021,C,none,,4602,0,
11,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,CORE2021,A,none,approx,4613,0,
12,Asia-Pacific Services Computing Conference,APSCC,CORE2021,C,none,,4606,0,
13,Asia-Pacific Software Engineering Conference,APSEC,CORE2021,B,none,apsec,4612,0,
14,Web and Big Data,APWEB,CORE2021,B,none,apweb,4605,0,
15,"International Conference on Availability, Reliability and Security",ARES,CORE2021,B,none,IEEEares,4604,0,
16,IEEE Symposium on Computer Arithmetic,ARITH,CORE2021,C,none,arith,4613,0,
17,International Symposium on Artificial Life and Robotics,AROB,CORE2021,C,none,,4602,0,
18,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2021,C,none,artsit,4607,0,
19,Automated Software Engineering Conference,ASE,CORE2021,A*,none,kbse,4612,2,5.0
20,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2021,A,none,asiaccs,4604,0,
