,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
6,3-D Digital Imaging and Modelling,3DIM,CORE2018,C,none,,801.0,0,
23,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*,none,aaai,4602.0,1,5.0
31,Conference on Algorithmic Aspects in Information and Management,AAIM,CORE2023,C,none,aaim,4613.0,0,
21,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*,none,atal,4602.0,2,5.0
49,"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,CORE2023,C,none,zum,4612.0,0,
17,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2020,Regional,none,acalci,4602.0,0,
45,Asian Conference on Computer Vision,ACCV,CORE2023,B,none,accv,4603.0,0,
27,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,See note,missing-submissions-process.pdf,4607.0,0,
26,Australasian Computing Education Conference (ACE),ACE,CORE2023,Regional,none,ace,4608.0,1,4.0
34,International Conference on Affective Computing and Intelligent,ACII,CORE2023,C,none,acii,4608.0,4,5.0
46,Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2023,B,none,aciids,4605.0,133,4.6
28,Australasian Conference on Information Security and Privacy,ACISP,CORE2023,Regional,none,acisp,4604.0,1,4.0
46,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,none,acivs,4603.0,1,3.0
8,Association for Computational Linguistics,ACL,CORE2023,A*,none,acl,4602.0,0,
1,ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,CORE2018,B,none,sigcpr,806.0,0,
47,Asian Conference on Machine Learning,ACML,CORE2023,Unranked,none,acml,4611.0,12,4.7
45,ACM Multimedia,ACMMM,CORE2023,A*,none,mm,4603.0,2,
23,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,none,index.html,4604.0,0,
